id,name,quality,effect,craftable,price,exist
47,Demoman's Fro, '3',0,1,46.77, '13217'
47,Demoman's Fro, '5', 'Purple Energy',1,2764.4, '30'
47,Demoman's Fro, '5', 'Circling TF Logo',1,1036.65, '19'
47,Demoman's Fro, '5', 'Massed Flies',1,621.99, '15'
47,Demoman's Fro, '5', 'Burning Flames',1,6911, '27'
47,Demoman's Fro, '5', 'Scorching Flames',1,6427.23, '24'
47,Demoman's Fro, '5', 'Searing Plasma',1,1727.75, '17'
47,Demoman's Fro, '5', 'Vivid Plasma',1,1243.98, '25'
47,Demoman's Fro, '5', 'Sunbeams',1,5597.91, '23'
47,Demoman's Fro, '5', 'Circling Peace Sign',1,5874.35, '24'
47,Demoman's Fro, '5', 'Circling Heart',1,2073.3, '21'
47,Demoman's Fro, '5', 'Stormy Storm',1,1174.87, '27'
47,Demoman's Fro, '5', 'Blizzardy Storm',1,1451.31, '33'
47,Demoman's Fro, '5',Nuts n' Bolts,1,691.1, '14'
47,Demoman's Fro, '5', 'Orbiting Planets',1,967.54, '29'
47,Demoman's Fro, '5', 'Orbiting Fire',1,760.21, '23'
47,Demoman's Fro, '5', 'Bubbling',1,621.99, '36'
47,Demoman's Fro, '5', 'Smoking',1,656.545, '41'
47,Demoman's Fro, '5', 'Steaming',1,587.435, '24'
47,Demoman's Fro, '5', 'Flaming Lantern',1,4146.6, '3'
47,Demoman's Fro, '5', 'Cloudy Moon',1,7602.1, '2'
47,Demoman's Fro, '5', 'Cauldron Bubbles',1,2280.63, '6'
47,Demoman's Fro, '5', 'Eerie Orbiting Fire',1,1313.09, '6'
47,Demoman's Fro, '5', 'Knifestorm',1,23151.85, '2'
47,Demoman's Fro, '5', 'Stormy 13th Hour',1,22806.3, '4'
47,Demoman's Fro, '5', 'Green Confetti',1,587.435, '15'
47,Demoman's Fro, '5', 'Purple Confetti',1,967.54, '12'
47,Demoman's Fro, '5', 'Haunted Ghosts',1,1243.98, '19'
47,Demoman's Fro, '5', 'Green Energy',1,2349.74, '26'
47,Demoman's Fro, '6',0,0,41.44, '11396'
47,Demoman's Fro, '6',0,1,48.55, '15306'
48, 'Mining Light', '3',0,1,107.1205, '11096'
48, 'Mining Light', '5', 'Purple Energy',1,21424.1, '18'
48, 'Mining Light', '5', 'Circling TF Logo',1,5390.58, '18'
48, 'Mining Light', '5', 'Massed Flies',1,2764.4, '17'
48, 'Mining Light', '5', 'Burning Flames',1,34555, '19'
48, 'Mining Light', '5', 'Scorching Flames',1,17277.5, '23'
48, 'Mining Light', '5', 'Searing Plasma',1,2764.4, '20'
48, 'Mining Light', '5', 'Vivid Plasma',1,7602.1, '21'
48, 'Mining Light', '5', 'Sunbeams',1,31099.5, '22'
48, 'Mining Light', '5', 'Circling Peace Sign',1,12094.25, '14'
48, 'Mining Light', '5', 'Circling Heart',1,12439.8, '27'
48, 'Mining Light', '5', 'Stormy Storm',1,10366.5, '22'
48, 'Mining Light', '5', 'Blizzardy Storm',1,6565.45, '31'
48, 'Mining Light', '5',Nuts n' Bolts,1,4837.7, '25'
48, 'Mining Light', '5', 'Orbiting Planets',1,5183.25, '31'
48, 'Mining Light', '5', 'Orbiting Fire',1,9468.07, '33'
48, 'Mining Light', '5', 'Bubbling',1,2971.73, '34'
48, 'Mining Light', '5', 'Smoking',1,4215.71, '35'
48, 'Mining Light', '5', 'Steaming',1,5114.14, '27'
48, 'Mining Light', '5', 'Flaming Lantern',1,22460.75, '6'
48, 'Mining Light', '5', 'Cloudy Moon',1,39047.15, '2'
48, 'Mining Light', '5', 'Cauldron Bubbles',1,19350.8, '2'
48, 'Mining Light', '5', 'Eerie Orbiting Fire',1,19005.25, '4'
48, 'Mining Light', '5', 'Knifestorm',1,97514.21, '6'
48, 'Mining Light', '5', 'Misty Skull',1,13822, 'sorry :('
48, 'Mining Light', '5', 'Harvest Moon',1,143.04, 'sorry :('
48, 'Mining Light', '5',It's A Secret To Everybody,1,39530.92, 'sorry :('
48, 'Mining Light', '5', 'Green Confetti',1,5597.91, '22'
48, 'Mining Light', '5', 'Purple Confetti',1,5736.13, '20'
